"A1","A1"
"ABC","ABC"
"Ace","Ace"
"Adam","Adam"
"AT&T","AT&T"
"ACID","ACID"
"A. J.","A. J."
"Affair","Affair"
"Apello","Apello"
"Avalon","Avalon"
"Abilene","Abilene"
"Almeria","Almeria"
"Addison","Addison"
"Acapulco","Acapulco"
"Affinity","Affinity"
"Applecar","Applecar"
"Aviation","Aviation"
"Alexander","Alexander"
"Algonquin","Algonquin"
"Allegheny","Allegheny"
"Artillery","Artillery"
"Afterglow","Afterglow"
"Autodafé","Autodafé"
"Afternoon","Afternoon"
"After sex","After sex"
"B-53","B-53"
"B-52","B-52"
"Bijou","Bijou"
"Boxcar","Boxcar"
"Big Red","Big Red"
"Bellini","Bellini"
"Bramble","Bramble"
"Balmoral","Balmoral"
"Bluebird","Bluebird"
"Brooklyn","Brooklyn"
"Boomerang","Boomerang"
"Bora Bora","Bora Bora"
"Barracuda","Barracuda"
"Buccaneer","Buccaneer"
"Brigadier","Brigadier"
"Broadside","Broadside"
"Blackthorn","Blackthorn"
"Bob Marley","Bob Marley"
"Bubble Gum","Bubble Gum"
"Bible Belt","Bible Belt"
"Brain Fart","Brain Fart"
"Bloody Mary","Bloody Mary"
"Blue Lagoon","Blue Lagoon"
"Boston Sour","Boston Sour"
"Brandy Flip","Brandy Flip"
"Casino","Casino"
"Caipirinha","Caipirinha"
"Cherry Rum","Cherry Rum"
"Cuba Libre","Cuba Libre"
"Cuba Libra","Cuba Libra"
"Cafe Savoy","Cafe Savoy"
"Cream Soda","Cream Soda"
"Corn n Oil","Corn n Oil"
"Casa Blanca","Casa Blanca"
"Clover Club","Clover Club"
"Citrus Coke","Citrus Coke"
"Chicago Fizz","Chicago Fizz"
"City Slicker","City Slicker"
"Coffee-Vodka","Coffee-Vodka"
"Caipirissima","Caipirissima"
"Campari Beer","Campari Beer"
"Cosmopolitan","Cosmopolitan"
"Casino Royale","Casino Royale"
"Clove Cocktail","Clove Cocktail"
"Coffee Liqueur","Coffee Liqueur"
"Chocolate Milk","Chocolate Milk"
"Coke and Drops","Coke and Drops"
"Chocolate Drink","Chocolate Drink"
"Creme de Menthe","Creme de Menthe"
"Cranberry Punch","Cranberry Punch"
"Derby","Derby"
"Diesel","Diesel"
"Daiquiri","Daiquiri"
"Danbooka","Danbooka"
"Dragonfly","Dragonfly"
"Downshift","Downshift"
"Dry Rob Roy","Dry Rob Roy"
"Dry Martini","Dry Martini"
"Dirty Nipple","Dirty Nipple"
"Dirty Martini","Dirty Martini"
"Darkwood Sling","Darkwood Sling"
"Dark Caipirinha","Dark Caipirinha"
"Duchamp's Punch","Duchamp's Punch"
"Dark and Stormy","Dark and Stormy"
"Damned if you do","Damned if you do"
"Dubonnet Cocktail","Dubonnet Cocktail"
"Drinking Chocolate","Drinking Chocolate"
"Egg Cream","Egg Cream"
"Egg Nog #4","Egg Nog #4"
"English Highball","English Highball"
"Espresso Martini","Espresso Martini"
"Espresso Rumtini","Espresso Rumtini"
"Egg Nog - Healthy","Egg Nog - Healthy"
"English Rose Cocktail","English Rose Cocktail"
"Egg-Nog - Classic Cooked","Egg-Nog - Classic Cooked"
"Empellón Cocina's Fat-Washed Mezcal","Empellón Cocina's Fat-Washed Mezcal"
"Frappé","Frappé"
"Foxy Lady","Foxy Lady"
"French 75","French 75"
"French ""75""","French ""75"""
"Frisco Sour","Frisco Sour"
"Fruit Shake","Fruit Shake"
"Fruit Cooler","Fruit Cooler"
"Freddy Kruger","Freddy Kruger"
"Fuzzy Asshole","Fuzzy Asshole"
"French Martini","French Martini"
"French Negroni","French Negroni"
"Flying Dutchman","Flying Dutchman"
"Frozen Daiquiri","Frozen Daiquiri"
"Fruit Flip-Flop","Fruit Flip-Flop"
"Fahrenheit 5000","Fahrenheit 5000"
"Flying Scotchman","Flying Scotchman"
"French Connection","French Connection"
"Flaming Dr. Pepper","Flaming Dr. Pepper"
"Flander's Flake-Out","Flander's Flake-Out"
"Flaming Lamborghini","Flaming Lamborghini"
"Frozen Mint Daiquiri","Frozen Mint Daiquiri"
"Frozen Pineapple Daiquiri","Frozen Pineapple Daiquiri"
"GG","GG"
"Gimlet","Gimlet"
"Gin Fizz","Gin Fizz"
"Gin Sour","Gin Sour"
"Godchild","Godchild"
"Gin Daisy","Gin Daisy"
"Gin Sling","Gin Sling"
"Gin Smash","Gin Smash"
"Gin Toddy","Gin Toddy"
"Godfather","Godfather"
"Godmother","Godmother"
"Gagliardo","Gagliardo"
"Gluehwein","Gluehwein"
"Greyhound","Greyhound"
"Gin Cooler","Gin Cooler"
"Gin Squirt","Gin Squirt"
"Grand Blue","Grand Blue"
"Gin Rickey","Gin Rickey"
"Gin Swizzle","Gin Swizzle"
"Grass Skirt","Grass Skirt"
"Grim Reaper","Grim Reaper"
"Grasshopper","Grasshopper"
"Grizzly Bear","Grizzly Bear"
"Green Goblin","Green Goblin"
"Golden dream","Golden dream"
"H.D.","H.D."
"Honey Bee","Honey Bee"
"Herbal flame","Herbal flame"
"Horse's Neck","Horse's Neck"
"Happy Skipper","Happy Skipper"
